Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 1 2017,6:00 pm,Orlando Magic,111,Brooklyn Nets,121,Box Score,,15976,
Sat Apr 1 2017,5:00 pm,Atlanta Hawks,104,Chicago Bulls,106,Box Score,,22019,
Sat Apr 1 2017,3:30 pm,Los Angeles Lakers,104,Los Angeles Clippers,115,Box Score,,19060,
Sat Apr 1 2017,8:00 pm,Sacramento Kings,123,Minnesota Timberwolves,117,Box Score,,18960,
Sat Apr 1 2017,10:00 pm,Phoenix Suns,117,Portland Trail Blazers,130,Box Score,,18915,
Sun Apr 2 2017,6:00 pm,Atlanta Hawks,82,Brooklyn Nets,91,Box Score,,15040,
Sun Apr 2 2017,6:00 pm,Indiana Pacers,130,Cleveland Cavaliers,135,Box Score,2OT,20562,
Sun Apr 2 2017,8:00 pm,Washington Wizards,115,Golden State Warriors,139,Box Score,,19596,
Sun Apr 2 2017,3:30 pm,Memphis Grizzlies,103,Los Angeles Lakers,108,Box Score,,18997,
Sun Apr 2 2017,6:00 pm,Denver Nuggets,116,Miami Heat,113,Box Score,,19600,
Sun Apr 2 2017,3:30 pm,Dallas Mavericks,109,Milwaukee Bucks,105,Box Score,,18717,
Sun Apr 2 2017,6:00 pm,Chicago Bulls,117,New Orleans Pelicans,110,Box Score,,18306,
Sun Apr 2 2017,1:00 pm,Boston Celtics,110,New York Knicks,94,Box Score,,19812,
Sun Apr 2 2017,3:00 pm,Charlotte Hornets,113,Oklahoma City Thunder,101,Box Score,,18203,
Sun Apr 2 2017,9:00 pm,Houston Rockets,123,Phoenix Suns,116,Box Score,,17378,
Sun Apr 2 2017,3:30 pm,Utah Jazz,103,San Antonio Spurs,109,Box Score,,18418,
Sun Apr 2 2017,6:00 pm,Philadelphia 76ers,105,Toronto Raptors,113,Box Score,,19800,
Mon Apr 3 2017,7:00 pm,Portland Trail Blazers,109,Minnesota Timberwolves,110,Box Score,,14677,
Tue Apr 4 2017,7:00 pm,Orlando Magic,102,Cleveland Cavaliers,122,Box Score,,20562,
Tue Apr 4 2017,10:30 pm,Minnesota Timberwolves,107,Golden State Warriors,121,Box Score,,19596,
Tue Apr 4 2017,7:00 pm,Toronto Raptors,90,Indiana Pacers,108,Box Score,,16524,
Tue Apr 4 2017,8:00 pm,Denver Nuggets,134,New Orleans Pelicans,131,Box Score,,16050,
Tue Apr 4 2017,8:00 pm,Chicago Bulls,91,New York Knicks,100,Box Score,,19812,
Tue Apr 4 2017,8:00 pm,Milwaukee Bucks,79,Oklahoma City Thunder,110,Box Score,,18203,
Tue Apr 4 2017,7:00 pm,Brooklyn Nets,141,Philadelphia 76ers,118,Box Score,,14580,
Tue Apr 4 2017,10:30 pm,Dallas Mavericks,87,Sacramento Kings,98,Box Score,,17608,
Tue Apr 4 2017,8:30 pm,Memphis Grizzlies,89,San Antonio Spurs,95,Box Score,OT,18418,
Tue Apr 4 2017,9:00 pm,Portland Trail Blazers,87,Utah Jazz,106,Box Score,,19911,
Tue Apr 4 2017,7:00 pm,Charlotte Hornets,111,Washington Wizards,118,Box Score,,18614,
Wed Apr 5 2017,8:00 pm,Cleveland Cavaliers,114,Boston Celtics,91,Box Score,,18624,
Wed Apr 5 2017,7:00 pm,Miami Heat,112,Charlotte Hornets,99,Box Score,,17758,
Wed Apr 5 2017,7:30 pm,Toronto Raptors,105,Detroit Pistons,102,Box Score,,17578,
Wed Apr 5 2017,8:00 pm,Denver Nuggets,104,Houston Rockets,110,Box Score,,18055,
Wed Apr 5 2017,10:30 pm,Dallas Mavericks,101,Los Angeles Clippers,112,Box Score,,19060,
Wed Apr 5 2017,8:00 pm,Oklahoma City Thunder,103,Memphis Grizzlies,100,Box Score,,17298,
Wed Apr 5 2017,10:00 pm,Golden State Warriors,120,Phoenix Suns,111,Box Score,,18055,
Wed Apr 5 2017,8:30 pm,Los Angeles Lakers,102,San Antonio Spurs,95,Box Score,,18418,
Thu Apr 6 2017,8:00 pm,Boston Celtics,116,Atlanta Hawks,123,Box Score,,18688,
Thu Apr 6 2017,7:00 pm,Milwaukee Bucks,89,Indiana Pacers,104,Box Score,,17010,
Thu Apr 6 2017,7:30 pm,Washington Wizards,106,New York Knicks,103,Box Score,,19812,
Thu Apr 6 2017,7:00 pm,Brooklyn Nets,107,Orlando Magic,115,Box Score,,18095,
Thu Apr 6 2017,7:00 pm,Chicago Bulls,102,Philadelphia 76ers,90,Box Score,,15177,
Thu Apr 6 2017,10:30 pm,Minnesota Timberwolves,98,Portland Trail Blazers,105,Box Score,,19393,
Fri Apr 7 2017,7:30 pm,Atlanta Hawks,114,Cleveland Cavaliers,100,Box Score,,20562,
Fri Apr 7 2017,8:30 pm,San Antonio Spurs,102,Dallas Mavericks,89,Box Score,,20133,
Fri Apr 7 2017,9:00 pm,New Orleans Pelicans,106,Denver Nuggets,122,Box Score,,16348,
Fri Apr 7 2017,8:00 pm,Detroit Pistons,114,Houston Rockets,109,Box Score,,18055,
Fri Apr 7 2017,10:30 pm,Sacramento Kings,94,Los Angeles Lakers,98,Box Score,,18997,
Fri Apr 7 2017,8:00 pm,New York Knicks,88,Memphis Grizzlies,101,Box Score,,17631,
