Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Jun 1 2017,9:00 pm,Cleveland Cavaliers,91,Golden State Warriors,113,Box Score,,19596,
Sun Jun 4 2017,8:00 pm,Cleveland Cavaliers,113,Golden State Warriors,132,Box Score,,19596,
Wed Jun 7 2017,9:00 pm,Golden State Warriors,118,Cleveland Cavaliers,113,Box Score,,20562,
Fri Jun 9 2017,9:00 pm,Golden State Warriors,116,Cleveland Cavaliers,137,Box Score,,20562,
Mon Jun 12 2017,9:00 pm,Cleveland Cavaliers,120,Golden State Warriors,129,Box Score,,19596,
