Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 9 2016,7:00 pm,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,
Wed Nov 9 2016,10:30 pm,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,
Wed Nov 9 2016,7:00 pm,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,
Wed Nov 9 2016,10:30 pm,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,
Wed Nov 9 2016,7:00 pm,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,
Wed Nov 9 2016,8:00 pm,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,
Wed Nov 9 2016,7:00 pm,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,
Wed Nov 9 2016,9:00 pm,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,
Wed Nov 9 2016,9:30 pm,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,
Wed Nov 9 2016,7:00 pm,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,
Thu Nov 10 2016,9:00 pm,Golden State Warriors,125,Denver Nuggets,101,Box Score,,17569,
Thu Nov 10 2016,8:00 pm,Chicago Bulls,98,Miami Heat,95,Box Score,,19600,
Thu Nov 10 2016,8:00 pm,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,12159,
Thu Nov 10 2016,10:30 pm,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,17608,
Fri Nov 11 2016,7:30 pm,New York Knicks,87,Boston Celtics,115,Box Score,,18624,
Fri Nov 11 2016,7:00 pm,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,18107,
Fri Nov 11 2016,8:00 pm,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,18203,
Fri Nov 11 2016,7:00 pm,Utah Jazz,87,Orlando Magic,74,Box Score,,18846,
Fri Nov 11 2016,7:00 pm,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,17643,
Fri Nov 11 2016,10:00 pm,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,19918,
Fri Nov 11 2016,8:30 pm,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,18418,
Fri Nov 11 2016,7:00 pm,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,20356,
Sat Nov 12 2016,7:30 pm,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,,17399,
Sat Nov 12 2016,8:00 pm,Washington Wizards,95,Chicago Bulls,106,Box Score,,21962,
Sat Nov 12 2016,9:00 pm,Detroit Pistons,106,Denver Nuggets,95,Box Score,,13997,
Sat Nov 12 2016,8:00 pm,San Antonio Spurs,106,Houston Rockets,100,Box Score,,18055,
Sat Nov 12 2016,7:00 pm,Boston Celtics,105,Indiana Pacers,99,Box Score,,17923,
Sat Nov 12 2016,8:00 pm,Utah Jazz,102,Miami Heat,91,Box Score,,19600,
Sat Nov 12 2016,8:30 pm,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,,14327,
Sat Nov 12 2016,8:00 pm,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,,14494,
Sat Nov 12 2016,7:00 pm,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,,17138,
Sat Nov 12 2016,9:00 pm,Brooklyn Nets,122,Phoenix Suns,104,Box Score,,17126,
