Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Dec 1 2016,7:30 pm,Milwaukee Bucks,111,Brooklyn Nets,93,Box Score,,12675,
Thu Dec 1 2016,7:00 pm,Dallas Mavericks,87,Charlotte Hornets,97,Box Score,,14471,
Thu Dec 1 2016,8:00 pm,Los Angeles Clippers,113,Cleveland Cavaliers,94,Box Score,,20562,
Thu Dec 1 2016,10:30 pm,Houston Rockets,132,Golden State Warriors,127,Box Score,2OT,19596,
Thu Dec 1 2016,8:00 pm,Orlando Magic,94,Memphis Grizzlies,95,Box Score,,13344,
Thu Dec 1 2016,9:00 pm,Miami Heat,111,Utah Jazz,110,Box Score,,19073,
Fri Dec 2 2016,8:00 pm,Detroit Pistons,121,Atlanta Hawks,85,Box Score,,15500,
Fri Dec 2 2016,7:30 pm,Sacramento Kings,92,Boston Celtics,97,Box Score,,18624,
Fri Dec 2 2016,8:00 pm,Cleveland Cavaliers,105,Chicago Bulls,111,Box Score,,21775,
Fri Dec 2 2016,10:30 pm,Houston Rockets,128,Denver Nuggets,110,Box Score,,15549,
Fri Dec 2 2016,8:00 pm,Los Angeles Clippers,114,New Orleans Pelicans,96,Box Score,,16538,
Fri Dec 2 2016,7:30 pm,Minnesota Timberwolves,114,New York Knicks,118,Box Score,,19812,
Fri Dec 2 2016,7:00 pm,Orlando Magic,105,Philadelphia 76ers,88,Box Score,,13711,
Fri Dec 2 2016,8:30 pm,Washington Wizards,105,San Antonio Spurs,107,Box Score,,18418,
Fri Dec 2 2016,7:30 pm,Los Angeles Lakers,80,Toronto Raptors,113,Box Score,,19800,
Sat Dec 3 2016,7:00 pm,Minnesota Timberwolves,125,Charlotte Hornets,120,Box Score,OT,16982,
Sat Dec 3 2016,8:30 pm,Chicago Bulls,82,Dallas Mavericks,107,Box Score,,19857,
Sat Dec 3 2016,10:30 pm,Phoenix Suns,109,Golden State Warriors,138,Box Score,,19596,
Sat Dec 3 2016,8:00 pm,Los Angeles Lakers,100,Memphis Grizzlies,103,Box Score,,17017,
Sat Dec 3 2016,5:00 pm,Brooklyn Nets,103,Milwaukee Bucks,112,Box Score,,15565,
Sat Dec 3 2016,7:30 pm,Boston Celtics,107,Philadelphia 76ers,106,Box Score,,17063,
Sat Dec 3 2016,10:00 pm,Miami Heat,92,Portland Trail Blazers,99,Box Score,,19393,
Sat Dec 3 2016,7:30 pm,Atlanta Hawks,84,Toronto Raptors,128,Box Score,,19800,
Sat Dec 3 2016,9:00 pm,Denver Nuggets,98,Utah Jazz,105,Box Score,,19911,
Sun Dec 4 2016,6:00 pm,Orlando Magic,98,Detroit Pistons,92,Box Score,,15206,
Sun Dec 4 2016,9:30 pm,Indiana Pacers,111,Los Angeles Clippers,102,Box Score,,19060,
Sun Dec 4 2016,7:30 pm,Sacramento Kings,98,New York Knicks,106,Box Score,,19812,
Sun Dec 4 2016,7:00 pm,New Orleans Pelicans,92,Oklahoma City Thunder,101,Box Score,,18203,
Mon Dec 5 2016,7:30 pm,Oklahoma City Thunder,102,Atlanta Hawks,99,Box Score,,14654,
Mon Dec 5 2016,7:30 pm,Washington Wizards,118,Brooklyn Nets,113,Box Score,,12529,
Mon Dec 5 2016,8:00 pm,Portland Trail Blazers,112,Chicago Bulls,110,Box Score,,21351,
Mon Dec 5 2016,8:30 pm,Charlotte Hornets,109,Dallas Mavericks,101,Box Score,,19228,
Mon Dec 5 2016,10:30 pm,Indiana Pacers,106,Golden State Warriors,142,Box Score,,19596,
Mon Dec 5 2016,8:00 pm,Boston Celtics,106,Houston Rockets,107,Box Score,,15730,
Mon Dec 5 2016,10:30 pm,Utah Jazz,107,Los Angeles Lakers,101,Box Score,,18279,
Mon Dec 5 2016,8:00 pm,San Antonio Spurs,97,Milwaukee Bucks,96,Box Score,,14256,
Mon Dec 5 2016,8:00 pm,Memphis Grizzlies,110,New Orleans Pelicans,108,Box Score,2OT,13795,
Mon Dec 5 2016,7:00 pm,Denver Nuggets,106,Philadelphia 76ers,98,Box Score,,11815,
Mon Dec 5 2016,7:30 pm,Cleveland Cavaliers,116,Toronto Raptors,112,Box Score,,19800,
Tue Dec 6 2016,7:30 pm,Chicago Bulls,91,Detroit Pistons,102,Box Score,,14305,
Tue Dec 6 2016,8:00 pm,Philadelphia 76ers,91,Memphis Grizzlies,96,Box Score,,13521,
Tue Dec 6 2016,7:30 pm,New York Knicks,114,Miami Heat,103,Box Score,,19610,
Tue Dec 6 2016,8:00 pm,San Antonio Spurs,105,Minnesota Timberwolves,91,Box Score,,12585,
Tue Dec 6 2016,9:00 pm,Phoenix Suns,105,Utah Jazz,112,Box Score,,18997,
Tue Dec 6 2016,7:00 pm,Orlando Magic,124,Washington Wizards,116,Box Score,,12116,
Wed Dec 7 2016,7:30 pm,Miami Heat,95,Atlanta Hawks,103,Box Score,,11326,
Wed Dec 7 2016,7:30 pm,Denver Nuggets,111,Brooklyn Nets,116,Box Score,,14159,
Wed Dec 7 2016,7:00 pm,Detroit Pistons,77,Charlotte Hornets,87,Box Score,,15141,
Wed Dec 7 2016,8:30 pm,Sacramento Kings,120,Dallas Mavericks,89,Box Score,,19711,
Wed Dec 7 2016,8:00 pm,Los Angeles Lakers,95,Houston Rockets,134,Box Score,,16141,
Wed Dec 7 2016,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,98,Box Score,,19239,
Wed Dec 7 2016,8:00 pm,Portland Trail Blazers,107,Milwaukee Bucks,115,Box Score,,14033,
Wed Dec 7 2016,8:00 pm,Cleveland Cavaliers,126,New York Knicks,94,Box Score,,19812,
Wed Dec 7 2016,7:00 pm,Boston Celtics,117,Orlando Magic,87,Box Score,,17009,
Wed Dec 7 2016,9:00 pm,Indiana Pacers,109,Phoenix Suns,94,Box Score,,17452,
