Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Feb 9 2018,8:00 pm,Milwaukee Bucks,85,Miami Heat,91,Box Score,,20018,
Fri Feb 9 2018,7:00 pm,New Orleans Pelicans,82,Philadelphia 76ers,100,Box Score,,20489,
Fri Feb 9 2018,10:30 pm,Portland Trail Blazers,118,Sacramento Kings,100,Box Score,,17583,
Fri Feb 9 2018,9:00 pm,Charlotte Hornets,94,Utah Jazz,106,Box Score,,18306,
Sat Feb 10 2018,6:00 pm,New Orleans Pelicans,138,Brooklyn Nets,128,Box Score,2OT,16572,
Sat Feb 10 2018,8:00 pm,Washington Wizards,101,Chicago Bulls,90,Box Score,,21112,
Sat Feb 10 2018,8:30 pm,Los Angeles Lakers,123,Dallas Mavericks,130,Box Score,,20162,
Sat Feb 10 2018,8:30 pm,San Antonio Spurs,105,Golden State Warriors,122,Box Score,,19596,
Sat Feb 10 2018,7:00 pm,Milwaukee Bucks,111,Orlando Magic,104,Box Score,,18347,
Sat Feb 10 2018,7:00 pm,Los Angeles Clippers,98,Philadelphia 76ers,112,Box Score,,20504,
Sat Feb 10 2018,9:00 pm,Denver Nuggets,123,Phoenix Suns,113,Box Score,,16325,
Sun Feb 11 2018,3:30 pm,Detroit Pistons,115,Atlanta Hawks,118,Box Score,,15214,
Sun Feb 11 2018,3:30 pm,Cleveland Cavaliers,121,Boston Celtics,99,Box Score,,18624,
Sun Feb 11 2018,1:00 pm,Toronto Raptors,123,Charlotte Hornets,103,Box Score,,18320,
Sun Feb 11 2018,7:00 pm,Dallas Mavericks,97,Houston Rockets,104,Box Score,,18055,
Sun Feb 11 2018,5:00 pm,New York Knicks,113,Indiana Pacers,121,Box Score,,17923,
Sun Feb 11 2018,7:00 pm,Sacramento Kings,106,Minnesota Timberwolves,111,Box Score,,18068,
Sun Feb 11 2018,7:00 pm,Memphis Grizzlies,92,Oklahoma City Thunder,110,Box Score,,18203,
Sun Feb 11 2018,9:00 pm,Utah Jazz,115,Portland Trail Blazers,96,Box Score,,19730,
Mon Feb 12 2018,7:30 pm,Los Angeles Clippers,114,Brooklyn Nets,101,Box Score,,13735,
Mon Feb 12 2018,8:00 pm,Orlando Magic,101,Chicago Bulls,105,Box Score,,18611,
Mon Feb 12 2018,7:00 pm,New Orleans Pelicans,118,Detroit Pistons,103,Box Score,,14453,
Mon Feb 12 2018,10:30 pm,Phoenix Suns,83,Golden State Warriors,129,Box Score,,19596,
Mon Feb 12 2018,7:00 pm,New York Knicks,92,Philadelphia 76ers,108,Box Score,,20589,
Mon Feb 12 2018,9:00 pm,San Antonio Spurs,99,Utah Jazz,101,Box Score,,18306,
Tue Feb 13 2018,8:30 pm,Sacramento Kings,114,Dallas Mavericks,109,Box Score,,19801,
Tue Feb 13 2018,10:30 pm,San Antonio Spurs,109,Denver Nuggets,117,Box Score,,17623,
Tue Feb 13 2018,8:00 pm,Atlanta Hawks,92,Milwaukee Bucks,97,Box Score,,14720,
Tue Feb 13 2018,8:00 pm,Houston Rockets,126,Minnesota Timberwolves,108,Box Score,,18978,
