Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue May 1 2018,10:30 pm,New Orleans Pelicans,116,Golden State Warriors,121,Box Score,,19596,
Tue May 1 2018,8:00 pm,Cleveland Cavaliers,113,Toronto Raptors,112,Box Score,OT,19954,
Wed May 2 2018,8:00 pm,Utah Jazz,116,Houston Rockets,108,Box Score,,18055,
Thu May 3 2018,8:30 pm,Philadelphia 76ers,103,Boston Celtics,108,Box Score,,18624,
Thu May 3 2018,6:00 pm,Cleveland Cavaliers,128,Toronto Raptors,110,Box Score,,20127,
Fri May 4 2018,8:00 pm,Golden State Warriors,100,New Orleans Pelicans,119,Box Score,,18551,
Fri May 4 2018,10:30 pm,Houston Rockets,113,Utah Jazz,92,Box Score,,18306,
Sat May 5 2018,8:30 pm,Toronto Raptors,103,Cleveland Cavaliers,105,Box Score,,20562,
Sat May 5 2018,5:00 pm,Boston Celtics,101,Philadelphia 76ers,98,Box Score,OT,20758,
Sun May 6 2018,3:30 pm,Golden State Warriors,118,New Orleans Pelicans,92,Box Score,,18513,
Sun May 6 2018,8:00 pm,Houston Rockets,100,Utah Jazz,87,Box Score,,18306,
Mon May 7 2018,8:30 pm,Toronto Raptors,93,Cleveland Cavaliers,128,Box Score,,20562,
Mon May 7 2018,6:00 pm,Boston Celtics,92,Philadelphia 76ers,103,Box Score,,20936,
Tue May 8 2018,10:30 pm,New Orleans Pelicans,104,Golden State Warriors,113,Box Score,,19596,
Tue May 8 2018,8:00 pm,Utah Jazz,102,Houston Rockets,112,Box Score,,18055,
Wed May 9 2018,8:00 pm,Philadelphia 76ers,112,Boston Celtics,114,Box Score,,18624,
Sun May 13 2018,3:30 pm,Cleveland Cavaliers,83,Boston Celtics,108,Box Score,,18624,
Mon May 14 2018,9:00 pm,Golden State Warriors,119,Houston Rockets,106,Box Score,,18055,
Tue May 15 2018,8:30 pm,Cleveland Cavaliers,94,Boston Celtics,107,Box Score,,18624,
Wed May 16 2018,9:00 pm,Golden State Warriors,105,Houston Rockets,127,Box Score,,18119,
Sat May 19 2018,8:30 pm,Boston Celtics,86,Cleveland Cavaliers,116,Box Score,,20562,
Sun May 20 2018,8:00 pm,Houston Rockets,85,Golden State Warriors,126,Box Score,,19596,
Mon May 21 2018,8:30 pm,Boston Celtics,102,Cleveland Cavaliers,111,Box Score,,20562,
Tue May 22 2018,9:00 pm,Houston Rockets,95,Golden State Warriors,92,Box Score,,19596,
Wed May 23 2018,8:30 pm,Cleveland Cavaliers,83,Boston Celtics,96,Box Score,,18624,
Thu May 24 2018,9:00 pm,Golden State Warriors,94,Houston Rockets,98,Box Score,,18208,
Fri May 25 2018,8:30 pm,Boston Celtics,99,Cleveland Cavaliers,109,Box Score,,20562,
Sat May 26 2018,9:00 pm,Houston Rockets,86,Golden State Warriors,115,Box Score,,19596,
Sun May 27 2018,8:30 pm,Cleveland Cavaliers,87,Boston Celtics,79,Box Score,,18624,
Mon May 28 2018,9:00 pm,Golden State Warriors,101,Houston Rockets,92,Box Score,,18055,
Thu May 31 2018,9:00 pm,Cleveland Cavaliers,114,Golden State Warriors,124,Box Score,OT,19596,
