Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Mar 1 2018,8:00 pm,Philadelphia 76ers,108,Cleveland Cavaliers,97,Box Score,,20562,
Thu Mar 1 2018,7:30 pm,Los Angeles Lakers,131,Miami Heat,113,Box Score,,19600,
Thu Mar 1 2018,10:30 pm,Minnesota Timberwolves,99,Portland Trail Blazers,108,Box Score,,19533,
Thu Mar 1 2018,10:00 pm,Brooklyn Nets,111,Sacramento Kings,116,Box Score,OT,17583,
Fri Mar 2 2018,7:30 pm,Golden State Warriors,114,Atlanta Hawks,109,Box Score,,16728,
Fri Mar 2 2018,8:00 pm,Dallas Mavericks,100,Chicago Bulls,108,Box Score,,21017,
Fri Mar 2 2018,10:30 pm,New York Knicks,105,Los Angeles Clippers,128,Box Score,,17190,
Fri Mar 2 2018,8:00 pm,Denver Nuggets,108,Memphis Grizzlies,102,Box Score,,16421,
Fri Mar 2 2018,8:00 pm,Indiana Pacers,103,Milwaukee Bucks,96,Box Score,,17217,
Fri Mar 2 2018,7:00 pm,Detroit Pistons,106,Orlando Magic,115,Box Score,OT,17223,
Fri Mar 2 2018,7:00 pm,Charlotte Hornets,99,Philadelphia 76ers,110,Box Score,,20487,
Fri Mar 2 2018,9:00 pm,Oklahoma City Thunder,124,Phoenix Suns,116,Box Score,,18055,
Fri Mar 2 2018,10:30 pm,Minnesota Timberwolves,108,Utah Jazz,116,Box Score,,18306,
Fri Mar 2 2018,8:00 pm,Toronto Raptors,102,Washington Wizards,95,Box Score,,18631,
Sat Mar 3 2018,7:30 pm,Denver Nuggets,126,Cleveland Cavaliers,117,Box Score,,20562,
Sat Mar 3 2018,8:30 pm,Boston Celtics,120,Houston Rockets,123,Box Score,,18476,
Sat Mar 3 2018,7:30 pm,Detroit Pistons,96,Miami Heat,105,Box Score,,19600,
Sat Mar 3 2018,7:00 pm,Memphis Grizzlies,100,Orlando Magic,107,Box Score,,17875,
Sat Mar 3 2018,10:00 pm,Oklahoma City Thunder,100,Portland Trail Blazers,108,Box Score,,20063,
Sat Mar 3 2018,10:00 pm,Utah Jazz,98,Sacramento Kings,91,Box Score,,17583,
Sat Mar 3 2018,9:00 pm,Los Angeles Lakers,116,San Antonio Spurs,112,Box Score,,18557,
Sun Mar 4 2018,3:30 pm,Phoenix Suns,112,Atlanta Hawks,113,Box Score,,15166,
Sun Mar 4 2018,7:00 pm,New Orleans Pelicans,126,Dallas Mavericks,109,Box Score,,19798,
Sun Mar 4 2018,9:00 pm,Brooklyn Nets,120,Los Angeles Clippers,123,Box Score,,16384,
Sun Mar 4 2018,8:00 pm,Philadelphia 76ers,110,Milwaukee Bucks,118,Box Score,,15587,
Sun Mar 4 2018,9:00 pm,New York Knicks,99,Sacramento Kings,102,Box Score,,17583,
Sun Mar 4 2018,6:00 pm,Charlotte Hornets,98,Toronto Raptors,103,Box Score,,19800,
Sun Mar 4 2018,6:00 pm,Indiana Pacers,98,Washington Wizards,95,Box Score,,16646,
Mon Mar 5 2018,8:00 pm,Boston Celtics,105,Chicago Bulls,89,Box Score,,21286,
Mon Mar 5 2018,7:00 pm,Detroit Pistons,90,Cleveland Cavaliers,112,Box Score,,20562,
Mon Mar 5 2018,7:00 pm,Milwaukee Bucks,89,Indiana Pacers,92,Box Score,,15874,
Mon Mar 5 2018,10:30 pm,Portland Trail Blazers,108,Los Angeles Lakers,103,Box Score,,18997,
Mon Mar 5 2018,7:30 pm,Phoenix Suns,103,Miami Heat,125,Box Score,,19600,
Mon Mar 5 2018,8:30 pm,Memphis Grizzlies,98,San Antonio Spurs,100,Box Score,,18418,
Mon Mar 5 2018,9:00 pm,Orlando Magic,80,Utah Jazz,94,Box Score,,18306,
Tue Mar 6 2018,7:00 pm,Philadelphia 76ers,128,Charlotte Hornets,114,Box Score,,15600,
Tue Mar 6 2018,8:30 pm,Denver Nuggets,107,Dallas Mavericks,118,Box Score,,19504,
Tue Mar 6 2018,10:30 pm,Brooklyn Nets,101,Golden State Warriors,114,Box Score,,19596,
Tue Mar 6 2018,10:30 pm,New Orleans Pelicans,121,Los Angeles Clippers,116,Box Score,,16412,
Tue Mar 6 2018,8:00 pm,Houston Rockets,122,Oklahoma City Thunder,112,Box Score,,18203,
Tue Mar 6 2018,10:00 pm,New York Knicks,87,Portland Trail Blazers,111,Box Score,,19393,
Tue Mar 6 2018,7:00 pm,Atlanta Hawks,90,Toronto Raptors,106,Box Score,,19800,
Tue Mar 6 2018,7:00 pm,Miami Heat,113,Washington Wizards,117,Box Score,OT,16582,
Wed Mar 7 2018,8:00 pm,Memphis Grizzlies,110,Chicago Bulls,119,Box Score,,20210,
Wed Mar 7 2018,10:30 pm,Cleveland Cavaliers,113,Denver Nuggets,108,Box Score,,20062,
Wed Mar 7 2018,8:00 pm,Toronto Raptors,121,Detroit Pistons,119,Box Score,OT,17769,
Wed Mar 7 2018,7:00 pm,Utah Jazz,104,Indiana Pacers,84,Box Score,,16432,
Wed Mar 7 2018,10:30 pm,Orlando Magic,107,Los Angeles Lakers,108,Box Score,,18997,
Wed Mar 7 2018,8:00 pm,Houston Rockets,110,Milwaukee Bucks,99,Box Score,,17195,
Wed Mar 7 2018,10:00 pm,New Orleans Pelicans,114,Sacramento Kings,101,Box Score,,17583,
Thu Mar 8 2018,7:00 pm,Brooklyn Nets,125,Charlotte Hornets,111,Box Score,,14173,
Thu Mar 8 2018,10:30 pm,San Antonio Spurs,107,Golden State Warriors,110,Box Score,,19596,
Thu Mar 8 2018,7:30 pm,Philadelphia 76ers,99,Miami Heat,108,Box Score,,19600,
Thu Mar 8 2018,8:00 pm,Boston Celtics,117,Minnesota Timberwolves,109,Box Score,,18978,
Thu Mar 8 2018,8:00 pm,Phoenix Suns,87,Oklahoma City Thunder,115,Box Score,,18203,
Fri Mar 9 2018,9:00 pm,Los Angeles Lakers,116,Denver Nuggets,125,Box Score,,19807,
Fri Mar 9 2018,7:00 pm,Chicago Bulls,83,Detroit Pistons,99,Box Score,,17406,
Fri Mar 9 2018,7:00 pm,Atlanta Hawks,87,Indiana Pacers,112,Box Score,,17923,
Fri Mar 9 2018,10:30 pm,Cleveland Cavaliers,102,Los Angeles Clippers,116,Box Score,,19130,
Fri Mar 9 2018,8:00 pm,Utah Jazz,95,Memphis Grizzlies,78,Box Score,,15622,
Fri Mar 9 2018,8:00 pm,New York Knicks,112,Milwaukee Bucks,120,Box Score,,18717,
Fri Mar 9 2018,8:00 pm,Washington Wizards,116,New Orleans Pelicans,97,Box Score,,18143,
Fri Mar 9 2018,10:00 pm,Golden State Warriors,108,Portland Trail Blazers,125,Box Score,,19487,
Fri Mar 9 2018,10:00 pm,Orlando Magic,88,Sacramento Kings,94,Box Score,,17583,
Fri Mar 9 2018,7:30 pm,Houston Rockets,105,Toronto Raptors,108,Box Score,,20131,
Sat Mar 10 2018,5:00 pm,Phoenix Suns,115,Charlotte Hornets,122,Box Score,,19336,
Sat Mar 10 2018,8:30 pm,Memphis Grizzlies,80,Dallas Mavericks,114,Box Score,,19579,
Sat Mar 10 2018,10:30 pm,Orlando Magic,105,Los Angeles Clippers,113,Box Score,,16561,
Sat Mar 10 2018,7:30 pm,Washington Wizards,102,Miami Heat,129,Box Score,,19689,
Sat Mar 10 2018,8:30 pm,San Antonio Spurs,94,Oklahoma City Thunder,104,Box Score,,18203,
Sun Mar 11 2018,3:30 pm,Chicago Bulls,129,Atlanta Hawks,122,Box Score,,15266,
Sun Mar 11 2018,7:30 pm,Indiana Pacers,99,Boston Celtics,97,Box Score,,18624,
Sun Mar 11 2018,7:30 pm,Philadelphia 76ers,120,Brooklyn Nets,97,Box Score,,16901,
Sun Mar 11 2018,7:00 pm,Houston Rockets,105,Dallas Mavericks,82,Box Score,,20394,
Sun Mar 11 2018,5:00 pm,Sacramento Kings,104,Denver Nuggets,130,Box Score,,19520,
Sun Mar 11 2018,9:00 pm,Cleveland Cavaliers,113,Los Angeles Lakers,127,Box Score,,18997,
Sun Mar 11 2018,3:30 pm,Golden State Warriors,103,Minnesota Timberwolves,109,Box Score,,18978,
Sun Mar 11 2018,4:00 pm,Utah Jazz,116,New Orleans Pelicans,99,Box Score,,18062,
Sun Mar 11 2018,1:00 pm,Toronto Raptors,132,New York Knicks,106,Box Score,,19812,
Mon Mar 12 2018,8:00 pm,San Antonio Spurs,93,Houston Rockets,109,Box Score,,18092,
Mon Mar 12 2018,8:00 pm,Milwaukee Bucks,121,Memphis Grizzlies,103,Box Score,,14112,
Mon Mar 12 2018,8:00 pm,Sacramento Kings,101,Oklahoma City Thunder,106,Box Score,,18203,
Mon Mar 12 2018,10:30 pm,Miami Heat,99,Portland Trail Blazers,115,Box Score,,19786,
Tue Mar 13 2018,7:30 pm,Oklahoma City Thunder,119,Atlanta Hawks,107,Box Score,,16739,
Tue Mar 13 2018,7:30 pm,Toronto Raptors,116,Brooklyn Nets,102,Box Score,,16654,
Tue Mar 13 2018,8:00 pm,Los Angeles Clippers,112,Chicago Bulls,106,Box Score,,20912,
Tue Mar 13 2018,10:30 pm,Denver Nuggets,103,Los Angeles Lakers,112,Box Score,,18997,
Tue Mar 13 2018,8:00 pm,Charlotte Hornets,115,New Orleans Pelicans,119,Box Score,,15507,
Tue Mar 13 2018,7:30 pm,Dallas Mavericks,110,New York Knicks,97,Box Score,,18597,
Tue Mar 13 2018,7:00 pm,Indiana Pacers,101,Philadelphia 76ers,98,Box Score,,20531,
Tue Mar 13 2018,10:00 pm,Cleveland Cavaliers,129,Phoenix Suns,107,Box Score,,18055,
Tue Mar 13 2018,8:30 pm,Orlando Magic,72,San Antonio Spurs,108,Box Score,,18418,
Tue Mar 13 2018,9:00 pm,Detroit Pistons,79,Utah Jazz,110,Box Score,,18306,
Tue Mar 13 2018,7:00 pm,Minnesota Timberwolves,116,Washington Wizards,111,Box Score,,17078,
Wed Mar 14 2018,8:00 pm,Washington Wizards,125,Boston Celtics,124,Box Score,2OT,18624,
Wed Mar 14 2018,10:30 pm,Los Angeles Lakers,106,Golden State Warriors,117,Box Score,,19596,
Wed Mar 14 2018,7:00 pm,Milwaukee Bucks,117,Orlando Magic,126,Box Score,,17713,
Wed Mar 14 2018,10:00 pm,Miami Heat,119,Sacramento Kings,123,Box Score,OT,17583,
Thu Mar 15 2018,7:30 pm,Charlotte Hornets,129,Atlanta Hawks,117,Box Score,,14486,
Thu Mar 15 2018,9:00 pm,Detroit Pistons,113,Denver Nuggets,120,Box Score,,18697,
Thu Mar 15 2018,8:00 pm,Los Angeles Clippers,96,Houston Rockets,101,Box Score,,18055,
Thu Mar 15 2018,7:00 pm,Toronto Raptors,106,Indiana Pacers,99,Box Score,,17923,
Thu Mar 15 2018,8:00 pm,Chicago Bulls,111,Memphis Grizzlies,110,Box Score,,16511,
Thu Mar 15 2018,7:30 pm,Philadelphia 76ers,118,New York Knicks,110,Box Score,,18894,
Thu Mar 15 2018,10:00 pm,Cleveland Cavaliers,105,Portland Trail Blazers,113,Box Score,,19806,
Thu Mar 15 2018,8:30 pm,New Orleans Pelicans,93,San Antonio Spurs,98,Box Score,,18418,
Thu Mar 15 2018,9:00 pm,Phoenix Suns,88,Utah Jazz,116,Box Score,,18306,
Fri Mar 16 2018,10:30 pm,Sacramento Kings,98,Golden State Warriors,93,Box Score,,19596,
Fri Mar 16 2018,10:30 pm,Miami Heat,92,Los Angeles Lakers,91,Box Score,,18997,
Fri Mar 16 2018,8:00 pm,Los Angeles Clippers,113,Oklahoma City Thunder,121,Box Score,,18203,
Fri Mar 16 2018,7:00 pm,Boston Celtics,92,Orlando Magic,83,Box Score,,18981,
Fri Mar 16 2018,7:00 pm,Brooklyn Nets,116,Philadelphia 76ers,120,Box Score,,20666,
Fri Mar 16 2018,7:30 pm,Dallas Mavericks,115,Toronto Raptors,122,Box Score,OT,19800,
Sat Mar 17 2018,7:30 pm,Dallas Mavericks,106,Brooklyn Nets,114,Box Score,,13877,
Sat Mar 17 2018,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,109,Box Score,,22983,
Sat Mar 17 2018,8:00 pm,Denver Nuggets,94,Memphis Grizzlies,101,Box Score,,16501,
Sat Mar 17 2018,6:00 pm,Atlanta Hawks,117,Milwaukee Bucks,122,Box Score,,18717,
Sat Mar 17 2018,7:00 pm,Houston Rockets,107,New Orleans Pelicans,101,Box Score,,18495,
Sat Mar 17 2018,7:30 pm,Charlotte Hornets,101,New York Knicks,124,Box Score,,17760,
Sat Mar 17 2018,10:00 pm,Golden State Warriors,124,Phoenix Suns,109,Box Score,,18055,
Sat Mar 17 2018,10:00 pm,Detroit Pistons,87,Portland Trail Blazers,100,Box Score,,19727,
Sat Mar 17 2018,8:30 pm,Minnesota Timberwolves,101,San Antonio Spurs,117,Box Score,,18418,
Sat Mar 17 2018,9:00 pm,Sacramento Kings,97,Utah Jazz,103,Box Score,,18306,
Sat Mar 17 2018,7:00 pm,Indiana Pacers,102,Washington Wizards,109,Box Score,,18249,
Sun Mar 18 2018,10:30 pm,Portland Trail Blazers,122,Los Angeles Clippers,109,Box Score,,17776,
Sun Mar 18 2018,7:00 pm,Houston Rockets,129,Minnesota Timberwolves,120,Box Score,,18978,
Sun Mar 18 2018,6:00 pm,Boston Celtics,89,New Orleans Pelicans,108,Box Score,,18277,
Sun Mar 18 2018,1:00 pm,Oklahoma City Thunder,132,Toronto Raptors,125,Box Score,,19800,
Mon Mar 19 2018,7:30 pm,Memphis Grizzlies,115,Brooklyn Nets,118,Box Score,,12856,
Mon Mar 19 2018,7:00 pm,Milwaukee Bucks,117,Cleveland Cavaliers,124,Box Score,,20562,
Mon Mar 19 2018,7:00 pm,Los Angeles Lakers,100,Indiana Pacers,110,Box Score,,16603,
Mon Mar 19 2018,7:30 pm,Denver Nuggets,141,Miami Heat,149,Box Score,2OT,19600,
Mon Mar 19 2018,7:30 pm,Chicago Bulls,92,New York Knicks,110,Box Score,,18835,
Mon Mar 19 2018,7:00 pm,Charlotte Hornets,94,Philadelphia 76ers,108,Box Score,,20530,
Mon Mar 19 2018,10:00 pm,Detroit Pistons,106,Sacramento Kings,90,Box Score,,17583,
Mon Mar 19 2018,9:30 pm,Golden State Warriors,75,San Antonio Spurs,89,Box Score,,18418,
Tue Mar 20 2018,8:00 pm,Oklahoma City Thunder,99,Boston Celtics,100,Box Score,,18624,
Tue Mar 20 2018,8:00 pm,Los Angeles Clippers,109,Minnesota Timberwolves,123,Box Score,,16351,
Tue Mar 20 2018,8:00 pm,Dallas Mavericks,105,New Orleans Pelicans,115,Box Score,,14484,
Tue Mar 20 2018,7:00 pm,Toronto Raptors,93,Orlando Magic,86,Box Score,,16228,
Tue Mar 20 2018,10:00 pm,Detroit Pistons,115,Phoenix Suns,88,Box Score,,17400,
Tue Mar 20 2018,10:30 pm,Houston Rockets,115,Portland Trail Blazers,111,Box Score,,20012,
Tue Mar 20 2018,9:00 pm,Atlanta Hawks,99,Utah Jazz,94,Box Score,,18306,
Wed Mar 21 2018,7:30 pm,Charlotte Hornets,111,Brooklyn Nets,105,Box Score,,10231,
Wed Mar 21 2018,8:00 pm,Denver Nuggets,135,Chicago Bulls,102,Box Score,,20671,
Wed Mar 21 2018,7:00 pm,Toronto Raptors,129,Cleveland Cavaliers,132,Box Score,,20562,
Wed Mar 21 2018,7:30 pm,New York Knicks,98,Miami Heat,119,Box Score,,19600,
Wed Mar 21 2018,8:00 pm,Los Angeles Clippers,127,Milwaukee Bucks,120,Box Score,,17916,
Wed Mar 21 2018,8:00 pm,Indiana Pacers,92,New Orleans Pelicans,96,Box Score,,14148,
Wed Mar 21 2018,7:00 pm,Memphis Grizzlies,105,Philadelphia 76ers,119,Box Score,,10411,
Wed Mar 21 2018,9:30 pm,Washington Wizards,90,San Antonio Spurs,98,Box Score,,18418,
Thu Mar 22 2018,7:00 pm,Memphis Grizzlies,79,Charlotte Hornets,140,Box Score,,15033,
Thu Mar 22 2018,8:30 pm,Utah Jazz,119,Dallas Mavericks,112,Box Score,,19725,
Thu Mar 22 2018,8:00 pm,Detroit Pistons,96,Houston Rockets,100,Box Score,OT,18055,
Thu Mar 22 2018,8:00 pm,Los Angeles Lakers,125,New Orleans Pelicans,128,Box Score,,18037,
Thu Mar 22 2018,7:00 pm,Philadelphia 76ers,118,Orlando Magic,98,Box Score,,17881,
Thu Mar 22 2018,10:00 pm,Atlanta Hawks,90,Sacramento Kings,105,Box Score,,17583,
Fri Mar 23 2018,8:00 pm,Milwaukee Bucks,118,Chicago Bulls,105,Box Score,,21698,
Fri Mar 23 2018,7:30 pm,Phoenix Suns,95,Cleveland Cavaliers,120,Box Score,,20562,
Fri Mar 23 2018,10:30 pm,Atlanta Hawks,94,Golden State Warriors,106,Box Score,,19596,
Fri Mar 23 2018,7:00 pm,Los Angeles Clippers,104,Indiana Pacers,109,Box Score,,17923,
Fri Mar 23 2018,7:30 pm,Minnesota Timberwolves,108,New York Knicks,104,Box Score,,18914,
Fri Mar 23 2018,8:00 pm,Miami Heat,99,Oklahoma City Thunder,105,Box Score,,18203,
Fri Mar 23 2018,10:00 pm,Boston Celtics,105,Portland Trail Blazers,100,Box Score,,19575,
Fri Mar 23 2018,8:30 pm,Utah Jazz,120,San Antonio Spurs,124,Box Score,OT,18418,
Fri Mar 23 2018,7:30 pm,Brooklyn Nets,112,Toronto Raptors,116,Box Score,,19800,
Fri Mar 23 2018,7:00 pm,Denver Nuggets,108,Washington Wizards,100,Box Score,,19016,
Sat Mar 24 2018,8:30 pm,Charlotte Hornets,102,Dallas Mavericks,98,Box Score,,20085,
Sat Mar 24 2018,7:00 pm,Chicago Bulls,95,Detroit Pistons,117,Box Score,,19139,
Sat Mar 24 2018,8:00 pm,New Orleans Pelicans,91,Houston Rockets,114,Box Score,,18055,
Sat Mar 24 2018,8:00 pm,Los Angeles Lakers,100,Memphis Grizzlies,93,Box Score,,18119,
Sat Mar 24 2018,7:00 pm,Phoenix Suns,99,Orlando Magic,105,Box Score,,17393,
Sat Mar 24 2018,6:00 pm,Minnesota Timberwolves,108,Philadelphia 76ers,120,Box Score,,20668,
Sun Mar 25 2018,1:00 pm,Cleveland Cavaliers,121,Brooklyn Nets,114,Box Score,,17732,
Sun Mar 25 2018,8:30 pm,Utah Jazz,110,Golden State Warriors,91,Box Score,,19596,
Sun Mar 25 2018,8:00 pm,Atlanta Hawks,99,Houston Rockets,118,Box Score,,18055,
Sun Mar 25 2018,5:00 pm,Miami Heat,107,Indiana Pacers,113,Box Score,OT,17923,
Sun Mar 25 2018,3:30 pm,San Antonio Spurs,103,Milwaukee Bucks,106,Box Score,,18717,
Sun Mar 25 2018,7:00 pm,Portland Trail Blazers,108,Oklahoma City Thunder,105,Box Score,,18203,
Sun Mar 25 2018,6:00 pm,Boston Celtics,104,Sacramento Kings,93,Box Score,,17583,
Sun Mar 25 2018,6:00 pm,Los Angeles Clippers,117,Toronto Raptors,106,Box Score,,19800,
Sun Mar 25 2018,6:00 pm,New York Knicks,101,Washington Wizards,97,Box Score,,18884,
Mon Mar 26 2018,7:00 pm,New York Knicks,128,Charlotte Hornets,137,Box Score,OT,14487,
Mon Mar 26 2018,7:00 pm,Los Angeles Lakers,106,Detroit Pistons,112,Box Score,,18718,
Mon Mar 26 2018,8:00 pm,Memphis Grizzlies,101,Minnesota Timberwolves,93,Box Score,,16290,
Mon Mar 26 2018,7:00 pm,Denver Nuggets,104,Philadelphia 76ers,123,Box Score,,20585,
Mon Mar 26 2018,10:00 pm,Boston Celtics,102,Phoenix Suns,94,Box Score,,18055,
Tue Mar 27 2018,10:30 pm,Indiana Pacers,92,Golden State Warriors,81,Box Score,,19596,
Tue Mar 27 2018,8:00 pm,Chicago Bulls,86,Houston Rockets,118,Box Score,,18055,
Tue Mar 27 2018,10:30 pm,Milwaukee Bucks,98,Los Angeles Clippers,105,Box Score,,19068,
Tue Mar 27 2018,8:00 pm,Cleveland Cavaliers,79,Miami Heat,98,Box Score,,20093,
Tue Mar 27 2018,8:00 pm,Portland Trail Blazers,107,New Orleans Pelicans,103,Box Score,,15426,
Tue Mar 27 2018,10:00 pm,Dallas Mavericks,103,Sacramento Kings,97,Box Score,,17583,
Tue Mar 27 2018,7:30 pm,Denver Nuggets,110,Toronto Raptors,114,Box Score,,19800,
Tue Mar 27 2018,7:00 pm,San Antonio Spurs,106,Washington Wizards,116,Box Score,,19588,
Wed Mar 28 2018,7:00 pm,Cleveland Cavaliers,118,Charlotte Hornets,105,Box Score,,19474,
Wed Mar 28 2018,10:30 pm,Dallas Mavericks,93,Los Angeles Lakers,103,Box Score,,18997,
Wed Mar 28 2018,8:00 pm,Portland Trail Blazers,103,Memphis Grizzlies,108,Box Score,,16050,
