Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 1 2017,8:00 pm,Sacramento Kings,107,Chicago Bulls,106,Box Score,,19268,
Fri Dec 1 2017,8:00 pm,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,16413,
Fri Dec 1 2017,8:00 pm,Charlotte Hornets,100,Miami Heat,105,Box Score,,19600,
Fri Dec 1 2017,8:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,18203,
Fri Dec 1 2017,7:00 pm,Golden State Warriors,133,Orlando Magic,112,Box Score,,18846,
Fri Dec 1 2017,7:30 pm,Indiana Pacers,115,Toronto Raptors,120,Box Score,,19800,
Fri Dec 1 2017,9:00 pm,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,17725,
Fri Dec 1 2017,7:00 pm,Detroit Pistons,91,Washington Wizards,109,Box Score,,17885,
Sat Dec 2 2017,1:00 pm,Phoenix Suns,111,Boston Celtics,116,Box Score,,18624,
Sat Dec 2 2017,3:00 pm,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,13949,
Sat Dec 2 2017,7:30 pm,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,20562,
Sat Dec 2 2017,2:00 pm,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,19245,
Sat Dec 2 2017,9:00 pm,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,19520,
Sat Dec 2 2017,8:30 pm,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,15581,
Sat Dec 2 2017,7:30 pm,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,20562,
Sat Dec 2 2017,10:00 pm,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,18730,
Sun Dec 3 2017,9:30 pm,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,18997,
Sun Dec 3 2017,7:00 pm,Golden State Warriors,123,Miami Heat,95,Box Score,,19600,
Sun Dec 3 2017,7:00 pm,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,13172,
Sun Dec 3 2017,3:30 pm,Orlando Magic,105,New York Knicks,100,Box Score,,19082,
Sun Dec 3 2017,7:00 pm,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,18203,
Mon Dec 4 2017,7:30 pm,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,12056,
Mon Dec 4 2017,7:30 pm,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,18624,
Mon Dec 4 2017,8:00 pm,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,21323,
Mon Dec 4 2017,7:00 pm,Orlando Magic,94,Charlotte Hornets,104,Box Score,,14419,
Mon Dec 4 2017,8:30 pm,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,19419,
Mon Dec 4 2017,7:00 pm,New York Knicks,97,Indiana Pacers,115,Box Score,,12018,
Mon Dec 4 2017,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,14012,
Mon Dec 4 2017,8:00 pm,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,17004,
Mon Dec 4 2017,7:00 pm,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,20564,
Mon Dec 4 2017,8:30 pm,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,18288,
Mon Dec 4 2017,9:00 pm,Washington Wizards,69,Utah Jazz,116,Box Score,,17227,
Tue Dec 5 2017,8:00 pm,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,18203,
Tue Dec 5 2017,10:00 pm,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,19241,
Tue Dec 5 2017,7:30 pm,Phoenix Suns,113,Toronto Raptors,126,Box Score,,19800,
Wed Dec 6 2017,7:30 pm,Dallas Mavericks,90,Boston Celtics,97,Box Score,,18624,
