Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Jan 22 2018,8:00 pm,Philadelphia 76ers,101,Memphis Grizzlies,105,Box Score,,14288,
Mon Jan 22 2018,8:00 pm,Phoenix Suns,105,Milwaukee Bucks,109,Box Score,,14766,
Mon Jan 22 2018,8:00 pm,Chicago Bulls,128,New Orleans Pelicans,132,Box Score,2OT,17101,
Tue Jan 23 2018,10:30 pm,New York Knicks,112,Golden State Warriors,123,Box Score,,19596,
Tue Jan 23 2018,10:30 pm,Boston Celtics,107,Los Angeles Lakers,108,Box Score,,18997,
Tue Jan 23 2018,8:00 pm,Brooklyn Nets,108,Oklahoma City Thunder,109,Box Score,,18203,
Tue Jan 23 2018,7:00 pm,Sacramento Kings,105,Orlando Magic,99,Box Score,,18846,
Tue Jan 23 2018,8:00 pm,Cleveland Cavaliers,102,San Antonio Spurs,114,Box Score,,18418,
Wed Jan 24 2018,7:30 pm,Toronto Raptors,108,Atlanta Hawks,93,Box Score,,12780,
Wed Jan 24 2018,7:00 pm,New Orleans Pelicans,101,Charlotte Hornets,96,Box Score,,14588,
Wed Jan 24 2018,8:00 pm,Houston Rockets,104,Dallas Mavericks,97,Box Score,,19378,
Wed Jan 24 2018,7:00 pm,Utah Jazz,98,Detroit Pistons,95,Box Score,OT,15682,
Wed Jan 24 2018,7:00 pm,Phoenix Suns,101,Indiana Pacers,116,Box Score,,14060,
Wed Jan 24 2018,10:30 pm,Boston Celtics,113,Los Angeles Clippers,102,Box Score,,19430,
Wed Jan 24 2018,8:00 pm,San Antonio Spurs,108,Memphis Grizzlies,85,Box Score,,15812,
Wed Jan 24 2018,7:00 pm,Chicago Bulls,101,Philadelphia 76ers,115,Box Score,,20547,
Wed Jan 24 2018,10:00 pm,Minnesota Timberwolves,114,Portland Trail Blazers,123,Box Score,,18920,
Thu Jan 25 2018,9:00 pm,New York Knicks,118,Denver Nuggets,130,Box Score,,15482,
Thu Jan 25 2018,10:30 pm,Minnesota Timberwolves,113,Golden State Warriors,126,Box Score,,19596,
Thu Jan 25 2018,7:30 pm,Sacramento Kings,89,Miami Heat,88,Box Score,,19600,
Thu Jan 25 2018,8:00 pm,Washington Wizards,112,Oklahoma City Thunder,121,Box Score,,18203,
Fri Jan 26 2018,8:00 pm,Los Angeles Lakers,108,Chicago Bulls,103,Box Score,,21827,
Fri Jan 26 2018,7:00 pm,Atlanta Hawks,110,Charlotte Hornets,121,Box Score,,15479,
Fri Jan 26 2018,7:30 pm,Indiana Pacers,108,Cleveland Cavaliers,115,Box Score,,20562,
Fri Jan 26 2018,8:30 pm,Portland Trail Blazers,107,Dallas Mavericks,93,Box Score,,19876,
Fri Jan 26 2018,8:00 pm,Los Angeles Clippers,109,Memphis Grizzlies,100,Box Score,,16369,
Fri Jan 26 2018,8:00 pm,Brooklyn Nets,91,Milwaukee Bucks,116,Box Score,,18717,
Fri Jan 26 2018,8:00 pm,Houston Rockets,113,New Orleans Pelicans,115,Box Score,,17186,
Fri Jan 26 2018,9:00 pm,New York Knicks,107,Phoenix Suns,85,Box Score,,17068,
Fri Jan 26 2018,8:30 pm,Philadelphia 76ers,97,San Antonio Spurs,78,Box Score,,18418,
Fri Jan 26 2018,7:30 pm,Utah Jazz,97,Toronto Raptors,93,Box Score,,19800,
Sat Jan 27 2018,7:30 pm,Washington Wizards,129,Atlanta Hawks,104,Box Score,,15843,
Sat Jan 27 2018,9:00 pm,Dallas Mavericks,89,Denver Nuggets,91,Box Score,,19520,
Sat Jan 27 2018,5:00 pm,Oklahoma City Thunder,121,Detroit Pistons,108,Box Score,,20491,
