Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 11 2015,9:30 pm,Portland Trail Blazers,106,Phoenix Suns,96,Box Score,,17028,
Fri Dec 11 2015,9:30 pm,Los Angeles Lakers,87,San Antonio Spurs,109,Box Score,,18418,
Fri Dec 11 2015,7:30 pm,Milwaukee Bucks,83,Toronto Raptors,90,Box Score,,19800,
Fri Dec 11 2015,9:00 pm,Oklahoma City Thunder,94,Utah Jazz,90,Box Score,,19911,
Sat Dec 12 2015,8:00 pm,San Antonio Spurs,103,Atlanta Hawks,78,Box Score,,17752,
Sat Dec 12 2015,5:00 pm,Los Angeles Clippers,105,Brooklyn Nets,100,Box Score,,15689,
Sat Dec 12 2015,8:00 pm,New Orleans Pelicans,94,Chicago Bulls,98,Box Score,,21605,
Sat Dec 12 2015,7:00 pm,Boston Celtics,98,Charlotte Hornets,93,Box Score,,18490,
Sat Dec 12 2015,8:30 pm,Washington Wizards,114,Dallas Mavericks,111,Box Score,,20088,
Sat Dec 12 2015,7:30 pm,Indiana Pacers,96,Detroit Pistons,118,Box Score,,14858,
Sat Dec 12 2015,8:00 pm,Los Angeles Lakers,97,Houston Rockets,126,Box Score,,18456,
Sat Dec 12 2015,8:30 pm,Golden State Warriors,95,Milwaukee Bucks,108,Box Score,,18717,
Sat Dec 12 2015,10:00 pm,New York Knicks,112,Portland Trail Blazers,110,Box Score,,19511,
Sun Dec 13 2015,6:00 pm,Memphis Grizzlies,97,Miami Heat,100,Box Score,,19813,
Sun Dec 13 2015,7:00 pm,Utah Jazz,98,Oklahoma City Thunder,104,Box Score,OT,18203,
Sun Dec 13 2015,3:30 pm,Minnesota Timberwolves,101,Phoenix Suns,108,Box Score,,16919,
Sun Dec 13 2015,6:00 pm,Philadelphia 76ers,76,Toronto Raptors,96,Box Score,,19800,
Mon Dec 14 2015,8:00 pm,Miami Heat,100,Atlanta Hawks,88,Box Score,,15039,
Mon Dec 14 2015,7:30 pm,Orlando Magic,105,Brooklyn Nets,82,Box Score,,12946,
Mon Dec 14 2015,8:00 pm,Philadelphia 76ers,96,Chicago Bulls,115,Box Score,,21166,
Mon Dec 14 2015,8:30 pm,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,19822,
Mon Dec 14 2015,9:00 pm,Houston Rockets,108,Denver Nuggets,114,Box Score,,12022,
Mon Dec 14 2015,7:30 pm,Los Angeles Clippers,105,Detroit Pistons,103,Box Score,OT,13525,
Mon Dec 14 2015,7:00 pm,Toronto Raptors,90,Indiana Pacers,106,Box Score,,16598,
Mon Dec 14 2015,8:00 pm,Washington Wizards,95,Memphis Grizzlies,112,Box Score,,15397,
Mon Dec 14 2015,10:00 pm,New Orleans Pelicans,101,Portland Trail Blazers,105,Box Score,,19231,
Mon Dec 14 2015,8:30 pm,Utah Jazz,81,San Antonio Spurs,118,Box Score,,18418,
Tue Dec 15 2015,7:30 pm,Cleveland Cavaliers,89,Boston Celtics,77,Box Score,,18624,
Tue Dec 15 2015,10:30 pm,Milwaukee Bucks,95,Los Angeles Lakers,113,Box Score,,18997,
Tue Dec 15 2015,8:00 pm,Denver Nuggets,112,Minnesota Timberwolves,100,Box Score,,11323,
Tue Dec 15 2015,10:00 pm,Houston Rockets,97,Sacramento Kings,107,Box Score,,17317,
Wed Dec 16 2015,8:00 pm,Philadelphia 76ers,106,Atlanta Hawks,127,Box Score,,14827,
Wed Dec 16 2015,7:30 pm,Miami Heat,104,Brooklyn Nets,98,Box Score,,15113,
Wed Dec 16 2015,8:00 pm,Memphis Grizzlies,85,Chicago Bulls,98,Box Score,,21032,
Wed Dec 16 2015,7:30 pm,Boston Celtics,116,Detroit Pistons,119,Box Score,,13120,
Wed Dec 16 2015,10:30 pm,Phoenix Suns,103,Golden State Warriors,128,Box Score,,19596,
Wed Dec 16 2015,7:00 pm,Dallas Mavericks,81,Indiana Pacers,107,Box Score,,14824,
Wed Dec 16 2015,10:30 pm,Milwaukee Bucks,90,Los Angeles Clippers,103,Box Score,,19060,
Wed Dec 16 2015,7:30 pm,Minnesota Timberwolves,102,New York Knicks,107,Box Score,,19812,
Wed Dec 16 2015,8:00 pm,Portland Trail Blazers,90,Oklahoma City Thunder,106,Box Score,,18203,
Wed Dec 16 2015,7:00 pm,Charlotte Hornets,98,Orlando Magic,113,Box Score,,16019,
Wed Dec 16 2015,8:30 pm,Washington Wizards,95,San Antonio Spurs,114,Box Score,,18418,
Wed Dec 16 2015,9:00 pm,New Orleans Pelicans,104,Utah Jazz,94,Box Score,,17899,
Thu Dec 17 2015,7:00 pm,Toronto Raptors,99,Charlotte Hornets,109,Box Score,OT,15817,
Thu Dec 17 2015,8:00 pm,Oklahoma City Thunder,100,Cleveland Cavaliers,104,Box Score,,20562,
Thu Dec 17 2015,10:30 pm,Houston Rockets,107,Los Angeles Lakers,87,Box Score,,18997,
Fri Dec 18 2015,7:30 pm,Atlanta Hawks,109,Boston Celtics,101,Box Score,,18624,
Fri Dec 18 2015,8:00 pm,Detroit Pistons,147,Chicago Bulls,144,Box Score,4OT,21534,
Fri Dec 18 2015,8:30 pm,Memphis Grizzlies,88,Dallas Mavericks,97,Box Score,,20199,
Fri Dec 18 2015,10:30 pm,Milwaukee Bucks,112,Golden State Warriors,121,Box Score,,19596,
Fri Dec 18 2015,7:00 pm,Brooklyn Nets,97,Indiana Pacers,104,Box Score,,16548,
Fri Dec 18 2015,8:00 pm,Toronto Raptors,108,Miami Heat,94,Box Score,,19600,
Fri Dec 18 2015,8:00 pm,Sacramento Kings,95,Minnesota Timberwolves,99,Box Score,,12770,
Fri Dec 18 2015,7:00 pm,Portland Trail Blazers,94,Orlando Magic,102,Box Score,,17156,
Fri Dec 18 2015,7:00 pm,New York Knicks,107,Philadelphia 76ers,97,Box Score,,17880,
Fri Dec 18 2015,10:30 pm,New Orleans Pelicans,88,Phoenix Suns,104,Box Score,,17227,
Fri Dec 18 2015,8:00 pm,Los Angeles Clippers,107,San Antonio Spurs,115,Box Score,,18418,
Fri Dec 18 2015,9:00 pm,Denver Nuggets,88,Utah Jazz,97,Box Score,,19169,
Sat Dec 19 2015,8:00 pm,Los Angeles Clippers,97,Houston Rockets,107,Box Score,,18212,
Sat Dec 19 2015,8:00 pm,Indiana Pacers,84,Memphis Grizzlies,96,Box Score,,18119,
Sat Dec 19 2015,7:30 pm,Chicago Bulls,91,New York Knicks,107,Box Score,,19812,
Sat Dec 19 2015,5:00 pm,Los Angeles Lakers,78,Oklahoma City Thunder,118,Box Score,,18203,
Sat Dec 19 2015,7:00 pm,Charlotte Hornets,101,Washington Wizards,109,Box Score,,16987,
