Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Jun 2 2016,9:00 pm,Cleveland Cavaliers,89,Golden State Warriors,104,Box Score,,19596,
Sun Jun 5 2016,8:00 pm,Cleveland Cavaliers,77,Golden State Warriors,110,Box Score,,19596,
Wed Jun 8 2016,9:00 pm,Golden State Warriors,90,Cleveland Cavaliers,120,Box Score,,20562,
Fri Jun 10 2016,9:00 pm,Golden State Warriors,108,Cleveland Cavaliers,97,Box Score,,20562,
Mon Jun 13 2016,9:00 pm,Cleveland Cavaliers,112,Golden State Warriors,97,Box Score,,19596,
Thu Jun 16 2016,9:00 pm,Golden State Warriors,101,Cleveland Cavaliers,115,Box Score,,20562,
Sun Jun 19 2016,8:00 pm,Cleveland Cavaliers,93,Golden State Warriors,89,Box Score,,19596,
