,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
1055,2015-10-27,8:00 pm,Detroit Pistons,106,Atlanta Hawks,94,0,19187,regular_season,Detroit Pistons at Atlanta Hawks
1056,2015-10-27,8:00 pm,Cleveland Cavaliers,95,Chicago Bulls,97,0,21957,regular_season,Cleveland Cavaliers at Chicago Bulls
1057,2015-10-27,10:30 pm,New Orleans Pelicans,95,Golden State Warriors,111,0,19596,regular_season,New Orleans Pelicans at Golden State Warriors
1062,2015-10-28,10:30 pm,Minnesota Timberwolves,112,Los Angeles Lakers,111,0,18997,regular_season,Minnesota Timberwolves at Los Angeles Lakers
1071,2015-10-28,7:30 pm,Indiana Pacers,99,Toronto Raptors,106,0,19800,regular_season,Indiana Pacers at Toronto Raptors
1070,2015-10-28,10:00 pm,Los Angeles Clippers,111,Sacramento Kings,104,0,17458,regular_season,Los Angeles Clippers at Sacramento Kings
1069,2015-10-28,10:00 pm,New Orleans Pelicans,94,Portland Trail Blazers,112,0,19393,regular_season,New Orleans Pelicans at Portland Trail Blazers
1068,2015-10-28,10:00 pm,Dallas Mavericks,111,Phoenix Suns,95,0,18055,regular_season,Dallas Mavericks at Phoenix Suns
1067,2015-10-28,7:00 pm,Washington Wizards,88,Orlando Magic,87,0,18846,regular_season,Washington Wizards at Orlando Magic
1065,2015-10-28,8:00 pm,New York Knicks,122,Milwaukee Bucks,97,0,18717,regular_season,New York Knicks at Milwaukee Bucks
1063,2015-10-28,8:00 pm,Cleveland Cavaliers,106,Memphis Grizzlies,76,0,18119,regular_season,Cleveland Cavaliers at Memphis Grizzlies
1064,2015-10-28,7:30 pm,Charlotte Hornets,94,Miami Heat,104,0,19724,regular_season,Charlotte Hornets at Miami Heat
1060,2015-10-28,7:30 pm,Utah Jazz,87,Detroit Pistons,92,0,18434,regular_season,Utah Jazz at Detroit Pistons
1059,2015-10-28,7:30 pm,Chicago Bulls,115,Brooklyn Nets,100,0,17732,regular_season,Chicago Bulls at Brooklyn Nets
1058,2015-10-28,7:30 pm,Philadelphia 76ers,95,Boston Celtics,112,0,18624,regular_season,Philadelphia 76ers at Boston Celtics
1066,2015-10-28,8:00 pm,San Antonio Spurs,106,Oklahoma City Thunder,112,0,18203,regular_season,San Antonio Spurs at Oklahoma City Thunder
1061,2015-10-28,8:00 pm,Denver Nuggets,105,Houston Rockets,85,0,18240,regular_season,Denver Nuggets at Houston Rockets
1073,2015-10-29,10:30 pm,Dallas Mavericks,88,Los Angeles Clippers,104,0,19218,regular_season,Dallas Mavericks at Los Angeles Clippers
1072,2015-10-29,7:00 pm,Memphis Grizzlies,112,Indiana Pacers,103,0,18165,regular_season,Memphis Grizzlies at Indiana Pacers
1074,2015-10-29,8:00 pm,Atlanta Hawks,112,New York Knicks,101,0,19812,regular_season,Atlanta Hawks at New York Knicks
1075,2015-10-30,8:00 pm,Charlotte Hornets,94,Atlanta Hawks,97,0,17024,regular_season,Charlotte Hornets at Atlanta Hawks
1076,2015-10-30,7:30 pm,Toronto Raptors,113,Boston Celtics,103,0,16898,regular_season,Toronto Raptors at Boston Celtics
1077,2015-10-30,7:00 pm,Miami Heat,92,Cleveland Cavaliers,102,0,20562,regular_season,Miami Heat at Cleveland Cavaliers
1078,2015-10-30,9:00 pm,Minnesota Timberwolves,95,Denver Nuggets,78,0,17660,regular_season,Minnesota Timberwolves at Denver Nuggets
1079,2015-10-30,7:30 pm,Chicago Bulls,94,Detroit Pistons,98,1,16035,regular_season,Chicago Bulls at Detroit Pistons
1080,2015-10-30,9:30 pm,Golden State Warriors,112,Houston Rockets,92,0,18142,regular_season,Golden State Warriors at Houston Rockets
1081,2015-10-30,8:00 pm,Washington Wizards,118,Milwaukee Bucks,113,0,13858,regular_season,Washington Wizards at Milwaukee Bucks
1082,2015-10-30,7:00 pm,Oklahoma City Thunder,139,Orlando Magic,136,0,18846,regular_season,Oklahoma City Thunder at Orlando Magic
1083,2015-10-30,7:00 pm,Utah Jazz,99,Philadelphia 76ers,71,0,17122,regular_season,Utah Jazz at Philadelphia 76ers
1084,2015-10-30,10:30 pm,Portland Trail Blazers,92,Phoenix Suns,110,0,18055,regular_season,Portland Trail Blazers at Phoenix Suns
1085,2015-10-30,10:00 pm,Los Angeles Lakers,114,Sacramento Kings,132,0,17391,regular_season,Los Angeles Lakers at Sacramento Kings
1086,2015-10-30,8:30 pm,Brooklyn Nets,75,San Antonio Spurs,102,0,18418,regular_season,Brooklyn Nets at San Antonio Spurs
1092,2015-10-31,7:00 pm,New York Knicks,117,Washington Wizards,110,0,20356,regular_season,New York Knicks at Washington Wizards
1091,2015-10-31,10:00 pm,Phoenix Suns,101,Portland Trail Blazers,90,0,17906,regular_season,Phoenix Suns at Portland Trail Blazers
1087,2015-10-31,7:00 pm,Utah Jazz,97,Indiana Pacers,76,0,14412,regular_season,Utah Jazz at Indiana Pacers
1089,2015-10-31,8:00 pm,Brooklyn Nets,91,Memphis Grizzlies,101,0,16013,regular_season,Brooklyn Nets at Memphis Grizzlies
