,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
665,2016-11-01,7:00 pm,Los Angeles Lakers,108,Indiana Pacers,115,0,15348,regular_season,Los Angeles Lakers at Indiana Pacers
663,2016-11-01,6:00 pm,Houston Rockets,120,Cleveland Cavaliers,128,0,20562,regular_season,Houston Rockets at Cleveland Cavaliers
671,2016-11-01,8:30 pm,Utah Jazz,106,San Antonio Spurs,91,0,18418,regular_season,Utah Jazz at San Antonio Spurs
670,2016-11-01,10:00 pm,Golden State Warriors,127,Portland Trail Blazers,104,0,19393,regular_season,Golden State Warriors at Portland Trail Blazers
664,2016-11-01,7:30 pm,New York Knicks,89,Detroit Pistons,102,0,13087,regular_season,New York Knicks at Detroit Pistons
668,2016-11-01,8:00 pm,Milwaukee Bucks,117,New Orleans Pelicans,113,0,15515,regular_season,Milwaukee Bucks at New Orleans Pelicans
667,2016-11-01,8:00 pm,Memphis Grizzlies,80,Minnesota Timberwolves,116,0,14774,regular_season,Memphis Grizzlies at Minnesota Timberwolves
666,2016-11-01,7:30 pm,Sacramento Kings,96,Miami Heat,108,1,19612,regular_season,Sacramento Kings at Miami Heat
669,2016-11-01,7:00 pm,Orlando Magic,103,Philadelphia 76ers,101,0,12529,regular_season,Orlando Magic at Philadelphia 76ers
681,2016-11-02,7:00 pm,Toronto Raptors,113,Washington Wizards,103,0,19581,regular_season,Toronto Raptors at Washington Wizards
679,2016-11-02,10:00 pm,Portland Trail Blazers,115,Phoenix Suns,118,1,17284,regular_season,Portland Trail Blazers at Phoenix Suns
677,2016-11-02,8:00 pm,New Orleans Pelicans,83,Memphis Grizzlies,89,1,15881,regular_season,New Orleans Pelicans at Memphis Grizzlies
680,2016-11-02,9:00 pm,Dallas Mavericks,81,Utah Jazz,97,0,19318,regular_season,Dallas Mavericks at Utah Jazz
675,2016-11-02,7:00 pm,Philadelphia 76ers,93,Charlotte Hornets,109,0,15275,regular_season,Philadelphia 76ers at Charlotte Hornets
674,2016-11-02,7:30 pm,Detroit Pistons,101,Brooklyn Nets,109,0,13650,regular_season,Detroit Pistons at Brooklyn Nets
673,2016-11-02,8:00 pm,Chicago Bulls,100,Boston Celtics,107,0,18624,regular_season,Chicago Bulls at Boston Celtics
672,2016-11-02,7:30 pm,Los Angeles Lakers,123,Atlanta Hawks,116,0,13800,regular_season,Los Angeles Lakers at Atlanta Hawks
