,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
213,2017-10-17,8:01 pm,Boston Celtics,99,Cleveland Cavaliers,102,0,20562,regular_season,Boston Celtics at Cleveland Cavaliers
214,2017-10-17,10:30 pm,Houston Rockets,122,Golden State Warriors,121,0,19596,regular_season,Houston Rockets at Golden State Warriors
216,2017-10-18,8:30 pm,Atlanta Hawks,117,Dallas Mavericks,111,0,19709,regular_season,Atlanta Hawks at Dallas Mavericks
215,2017-10-18,7:30 pm,Milwaukee Bucks,108,Boston Celtics,100,0,18624,regular_season,Milwaukee Bucks at Boston Celtics
225,2017-10-18,7:00 pm,Philadelphia 76ers,115,Washington Wizards,120,0,20356,regular_season,Philadelphia 76ers at Washington Wizards
223,2017-10-18,9:30 pm,Minnesota Timberwolves,99,San Antonio Spurs,107,0,18418,regular_season,Minnesota Timberwolves at San Antonio Spurs
222,2017-10-18,10:00 pm,Houston Rockets,105,Sacramento Kings,100,0,17583,regular_season,Houston Rockets at Sacramento Kings
224,2017-10-18,9:00 pm,Denver Nuggets,96,Utah Jazz,106,0,17588,regular_season,Denver Nuggets at Utah Jazz
220,2017-10-18,7:00 pm,Miami Heat,109,Orlando Magic,116,0,18846,regular_season,Miami Heat at Orlando Magic
219,2017-10-18,8:00 pm,New Orleans Pelicans,91,Memphis Grizzlies,103,0,17794,regular_season,New Orleans Pelicans at Memphis Grizzlies
218,2017-10-18,7:00 pm,Brooklyn Nets,131,Indiana Pacers,140,0,15008,regular_season,Brooklyn Nets at Indiana Pacers
217,2017-10-18,7:00 pm,Charlotte Hornets,90,Detroit Pistons,102,0,20491,regular_season,Charlotte Hornets at Detroit Pistons
221,2017-10-18,10:00 pm,Portland Trail Blazers,124,Phoenix Suns,76,0,18055,regular_season,Portland Trail Blazers at Phoenix Suns
226,2017-10-19,10:30 pm,Los Angeles Clippers,108,Los Angeles Lakers,92,0,18997,regular_season,Los Angeles Clippers at Los Angeles Lakers
227,2017-10-19,8:00 pm,New York Knicks,84,Oklahoma City Thunder,105,0,18203,regular_season,New York Knicks at Oklahoma City Thunder
228,2017-10-19,7:30 pm,Chicago Bulls,100,Toronto Raptors,117,0,19800,regular_season,Chicago Bulls at Toronto Raptors
235,2017-10-20,9:30 pm,Golden State Warriors,128,New Orleans Pelicans,120,0,18171,regular_season,Golden State Warriors at New Orleans Pelicans
236,2017-10-20,7:00 pm,Boston Celtics,102,Philadelphia 76ers,92,0,20816,regular_season,Boston Celtics at Philadelphia 76ers
234,2017-10-20,8:00 pm,Utah Jazz,97,Minnesota Timberwolves,100,0,18978,regular_season,Utah Jazz at Minnesota Timberwolves
238,2017-10-20,7:00 pm,Detroit Pistons,111,Washington Wizards,115,0,16337,regular_season,Detroit Pistons at Washington Wizards
232,2017-10-20,7:00 pm,Portland Trail Blazers,114,Indiana Pacers,96,0,15325,regular_season,Portland Trail Blazers at Indiana Pacers
233,2017-10-20,7:00 pm,Cleveland Cavaliers,116,Milwaukee Bucks,97,0,18717,regular_season,Cleveland Cavaliers at Milwaukee Bucks
229,2017-10-20,7:30 pm,Orlando Magic,121,Brooklyn Nets,126,0,16144,regular_season,Orlando Magic at Brooklyn Nets
237,2017-10-20,10:00 pm,Los Angeles Lakers,132,Phoenix Suns,130,0,18055,regular_season,Los Angeles Lakers at Phoenix Suns
230,2017-10-20,7:00 pm,Atlanta Hawks,91,Charlotte Hornets,109,0,18417,regular_season,Atlanta Hawks at Charlotte Hornets
231,2017-10-20,8:30 pm,Sacramento Kings,93,Dallas Mavericks,88,0,19273,regular_season,Sacramento Kings at Dallas Mavericks
248,2017-10-21,7:30 pm,Philadelphia 76ers,94,Toronto Raptors,128,0,19800,regular_season,Philadelphia 76ers at Toronto Raptors
246,2017-10-21,8:30 pm,Portland Trail Blazers,110,Milwaukee Bucks,113,0,16211,regular_season,Portland Trail Blazers at Milwaukee Bucks
245,2017-10-21,8:00 pm,Indiana Pacers,108,Miami Heat,112,0,19600,regular_season,Indiana Pacers at Miami Heat
244,2017-10-21,8:00 pm,Golden State Warriors,101,Memphis Grizzlies,111,0,17794,regular_season,Golden State Warriors at Memphis Grizzlies
249,2017-10-21,9:00 pm,Oklahoma City Thunder,87,Utah Jazz,96,0,18300,regular_season,Oklahoma City Thunder at Utah Jazz
242,2017-10-21,8:00 pm,Dallas Mavericks,91,Houston Rockets,107,0,18055,regular_season,Dallas Mavericks at Houston Rockets
241,2017-10-21,9:00 pm,Sacramento Kings,79,Denver Nuggets,96,0,19520,regular_season,Sacramento Kings at Denver Nuggets
240,2017-10-21,8:00 pm,Orlando Magic,114,Cleveland Cavaliers,93,0,20562,regular_season,Orlando Magic at Cleveland Cavaliers
239,2017-10-21,8:00 pm,San Antonio Spurs,87,Chicago Bulls,77,0,21640,regular_season,San Antonio Spurs at Chicago Bulls
243,2017-10-21,10:30 pm,Phoenix Suns,88,Los Angeles Clippers,130,0,19068,regular_season,Phoenix Suns at Los Angeles Clippers
247,2017-10-21,8:00 pm,Detroit Pistons,111,New York Knicks,107,0,19812,regular_season,Detroit Pistons at New York Knicks
250,2017-10-22,3:30 pm,Atlanta Hawks,104,Brooklyn Nets,116,0,13917,regular_season,Atlanta Hawks at Brooklyn Nets
251,2017-10-22,9:30 pm,New Orleans Pelicans,119,Los Angeles Lakers,112,0,18997,regular_season,New Orleans Pelicans at Los Angeles Lakers
252,2017-10-22,7:00 pm,Minnesota Timberwolves,115,Oklahoma City Thunder,113,0,18203,regular_season,Minnesota Timberwolves at Oklahoma City Thunder
260,2017-10-23,8:30 pm,Toronto Raptors,97,San Antonio Spurs,101,0,18418,regular_season,Toronto Raptors at San Antonio Spurs
253,2017-10-23,8:30 pm,Golden State Warriors,133,Dallas Mavericks,103,0,19875,regular_season,Golden State Warriors at Dallas Mavericks
254,2017-10-23,9:00 pm,Washington Wizards,109,Denver Nuggets,104,0,14294,regular_season,Washington Wizards at Denver Nuggets
255,2017-10-23,7:00 pm,Philadelphia 76ers,97,Detroit Pistons,86,0,13709,regular_season,Philadelphia 76ers at Detroit Pistons
256,2017-10-23,8:00 pm,Memphis Grizzlies,98,Houston Rockets,90,0,17129,regular_season,Memphis Grizzlies at Houston Rockets
257,2017-10-23,7:30 pm,Atlanta Hawks,93,Miami Heat,104,0,19600,regular_season,Atlanta Hawks at Miami Heat
258,2017-10-23,8:00 pm,Charlotte Hornets,94,Milwaukee Bucks,103,0,12887,regular_season,Charlotte Hornets at Milwaukee Bucks
259,2017-10-23,10:00 pm,Sacramento Kings,115,Phoenix Suns,117,0,14903,regular_season,Sacramento Kings at Phoenix Suns
